,ROLE,ACTOR NAME,DETAILS,LINKS,DESCRIPTION
10,Actor,Ayushmann Khurrana,"Top Rated Movies:1)Andhadhun (2018) 8.3/10
2)Article 15 (2019) 8.2/10
3)Badhaai Ho (2018) 8/10
4)Vicky Donor (2012) 7.8/10
5)Dum Laga Ke Haisha (2015) 7.5/10
6)Bareilly Ki Barfi (2017) 7.5/10
7)Bala (2019) 7.4/10
8)Dream Girl (2019) 7.1/10
Next Movies:1)Gulabo Sitabo  (2020)","https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg
","Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ..."
11,Actor,Naseeruddin Shah,"Top Rated Movies:1)Jaane Bhi Do Yaaro (1983) 8.5/10
2)Masoom (1983) 8.5/10
3)Ijaazat (1987) 8.3/10
4)A Wednesday (2008) 8.2/10
5)Sarfarosh (1999) 8.2/10
6)Iqbal (2005) 8.2/10
7)Maqbool (2003) 8.2/10
8)Omkara (2006) 8.1/10
9)Kabhi Haan Kabhi Naa (1994) 8/10
10)Hey Ram (2000) 8/10Next Movies:1)Pind Daan ???
2)Jamoon ???","https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY209_CR12,0,140,209_AL_.jpg
","Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children."
12,Actor,Paresh Rawal,"Top Rated Movies:1)Hera Pheri (2000) 8.2/10
2)Andaz Apna Apna (1994) 8.2/10
3)OMG: Oh My God! (2012) 8.2/10
4)Satya (1998) 8.2/10 
5)Vaastav: The Reality (1999) 8/10
6)Oye Lucky! Lucky Oye! (2008) 7.8/10
7)Nayak: The Real Hero (2001) 7.8/10
8)Mumbai Meri Jaan (2008) 7.8/10
9)Aankhen (2002) 7.6/10
10)Hungama (2003) 7.5/10Next Movies:1)Marakkar: Arabikadalinte Simham ???
2)Hera Pheri 3 ???","https://m.media-amazon.com/images/M/MV5BMjI4Mjg2MjgxMV5BMl5BanBnXkFtZTgwNDYyMTIzOTE@._V1_UY209_CR88,0,140,209_AL_.jpg
","Paresh Rawal was born on May 30, 1950 in Bombay, State of Bombay, India. He is a producer and actor, known for Hera Pheri (2000), OMG: Oh My God! (2012) and Hungama (2003). He is married to Swaroop Sampat. They have two children."
13,Actor,Om Puri,"Top Rated Movies:1)Jaane Bhi Do Yaaro (1983) 8.5/10
2)Rang De Basanti (2006) 8.3/10
3)Hera Pheri (2000) 8.2/10
4)OMG: Oh My God! (2012) 8.2/10
5)Maqbool (2003) 8.2/10
6)Ardh Satya (1983) 8.2/10
7)Bajrangi Bhaijaan (2015) 8.1/10
8)Hey Ram (2000) 8/10
9)Lakshya (2004) 7.9/10
10)Maachis (1996) 7.9/10","https://m.media-amazon.com/images/M/MV5BMTc4MjA5ODY4NF5BMl5BanBnXkFtZTcwNjUyMDUxMQ@@._V1_UY209_CR6,0,140,209_AL_.jpg
","Om Puri was an Indian actor who has appeared in both mainstream Indian films and art films. His credits also include appearances in British and American films. He has received an honorary OBE.Puri was born in Ambala, Haryana. His father worked on the railways and served in the Indian Army. Puri ..."
14,Actor,Anupam Kher,"Top Rated Movies:1)Rang De Basanti (2006) 8.3/10
2)Khosla Ka Ghosla! (2006) 8.3/10
3)A Wednesday (2008) 8.2/10
4)Dilwale Dulhania Le Jayenge (1995) 8.2/10
5)Saaransh (1984) 8.2/10
6)Baby (2015) 8.1/10
7)Special Chabbis (2013) 8/10
8)Veer-Zaara (2004) 7.9/10
9)Darr (1993) 7.9/10
10)Parinda (1989) 7.9/10Next Movies:1)One Day: Justice Delivered (2018)
2)Sooryavanshi (2020)","https://m.media-amazon.com/images/M/MV5BMjMyMjc1OTgzNF5BMl5BanBnXkFtZTgwMDY1NDMzOTE@._V1_UY209_CR3,0,140,209_AL_.jpg
","Anupam Kher was born on March 7, 1955 in Shimla, Himachal Pradesh, India. He is an actor and producer, known for Silver Linings Playbook (2012), A Wednesday (2008) and M.S. Dhoni: The Untold Stor (2016)."
15,Actor,Nana Patekar,"Top Rated Movies:1)Natsamrat (2016) 9.3/10
2)Deool (2011) 8.2/10
3)Salaam Bombay! (1988) 8/10
4)Prahaar: The Final Attack (1991) 8/10
5)Ab Tak Chhappan (2004) 7.9/10
6)Parinda (1989) 7.9/10
7)Khamoshi: The Musical (1996) 7.6/10
8)Apaharan (2005) 7.4/10
9)Krantiveer (1994) 7.4/10
10)Taxi No. 9 2 11: Nau Do Gyarah (2006) 7.2/10Next Movies:1)Tadka ???","https://m.media-amazon.com/images/M/MV5BMjI4MzQyODYwOF5BMl5BanBnXkFtZTgwMTcxMTIzOTE@._V1_UY209_CR87,0,140,209_AL_.jpg
","Vishwanath Patekar (born on January 1, 1951 in Murud-Janjira, Maharashtra, India) is an actor, writer and filmmaker. He is known for his work on Ab Tak Chhappan (2004), Raajneeti (2010) and Parinda (1989). He made his acting debut in the early 70's and since then has been nominated for multiple ..."
16,Actor,Hrithik Roshan,"Top Rated Movies:1)Zindagi Na Milegi Dobara (2011) 8.1/10
2)Super 30 (2019) 8.1/10
3)Lakshya (2004) 7.9/10
4)Jodhaa Akbar (2008) 7.6/10
5)Kabhi Khushi Kabhie Gham... (2001) 7.4/10
6)Guzaarish (2010) 7.4/10
7)Kaabil (2017) 7.1/10
8)Koi... Mil Gaya (2003) 7.1/10Next Movies:1)Krrish 4 ???","https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR0,0,140,209_AL_.jpg
","Hrithik Roshan is an Indian actor, born on 10th January 1974, well known globally for his versatile roles, unmatchable dancing skills and attractive looks.After having appeared in films as a child actor in the 1980s, Roshan made his film debut in a leading role in Kaho Naa... Pyaar Hai (2000) for ..."
17,Actor,Ranbir Kapoor,"Top Rated Movies:1)Barfi! (2012) 8.1/10
2)Sanju (2018) 7.8/10
3)Rockstar (2011) 7.7/10
4)Wake Up Sid (2009) 7.6/10
5)Rocket Singh: Salesman of the Year (2009) 7.5/10
6)Tamasha (2015) 7.2/10
7)Yeh Jawaani Hai Deewani (2013) 7.1/10
8)Raajneeti (2010) 7.1/10Next Movies:1)Brahmastra (2020) 
2)Shamshera (2020)
3)Luv Ranjan’s next (2021)","https://m.media-amazon.com/images/M/MV5BMTk2ODU5Mjk2MV5BMl5BanBnXkFtZTcwODEzNDg3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg
","Son of Rishi Kapoor and Neetu Singh; nephew of actors Randhir Kapoor, Rajiv Kapoor, Kunal Kapoor. Grandnephew of actors Shashi Kapoor, Jennifer Kendal, Shammi Kapoor, Geeta Bali; cousin of actresses Kareena Kapoor, Karisma Kapoor.Belongs to the fourth generation of highly prestigious and considered ..."
18,Actor,Shahid Kapoor,"Top Rated Movies:1)Haider (2014) 8.1/10
2)Jab We Met (2007) 7.9/10
3)Udta Punjab (2016) 7.8/10
4)Kaminey (2009) 7.4/10
5)Kabir Singh (2019) 7.1/10
6)Padmaavat (2018) 7/10
Next Movies:1)Jersey Remake (2020)","https://m.media-amazon.com/images/M/MV5BMjc5NTM5NjUyMV5BMl5BanBnXkFtZTgwMDEwMzU1OTE@._V1_UX140_CR0,0,140,209_AL_.jpg
","Shahid's rise to stardom reads like a bollywood script: from a struggler to a winner. With his hard work, perseverance and sincerity, he has written his own destiny.Shahid is a mine of unabashed talent and spark, beneath his calm and innocent veneer. Shahid Kapoor is young and vibrant, with a ..."
19,Actor,Ranveer Singh,"Top Rated Movies:1)Gully Boy (2019) 8.2/10
2)Lootera (2013) 7.3/10
3)Bajirao Mastani (2015) 7.2/10
4)Band Baaja Baaraat (2010) 7.2/10
5)Padmaavat (2018) 7/10Next Movies:1)'83 (2020)
2)ayeshbhai Jordaar (2020)
3)Tkhat (2021)","https://m.media-amazon.com/images/M/MV5BMTExOTcwMDU4NTReQTJeQWpwZ15BbWU3MDA0MjE1MTc@._V1_UY209_CR1,0,140,209_AL_.jpg
","Ranveer Singh is an Indian actor working in Bollywood. Born in Mumbai, India, Ranveer Singh had always wanted to be an actor since his childhood. However, during his college days he felt that the idea of acting was far-fetched and focused on creative writing. While pursuing his Bachelor of Arts ..."
20,Actor,Sushant Singh Rajput,"Top Rated Movies:1)Chhichhore (2019) 8.1/10 
2)PK (2014) 8.1/10
3)M.S. Dhoni: The Untold Story (2016) 7.7/10
4)Kai po che! (2013) 7.6/10
5)Detective Byomkesh Bakshy! (2015) 7.6/10
6)Sonchiriya (2019) 7.5/10Next Movies: 1)Dil Bechara (2020)","https://m.media-amazon.com/images/M/MV5BZjA4ZjNmYzUtZDAwNS00MTk4LWIzYjEtYWFlZDJhYTk1MzcyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg
","Sushant Singh Rajput is an Indian television and film actor. He is best known for playing the role of Manav in the ongoing TV series, Pavitra Rishta on Zee Tv. Having made his Bollywood debut with a blockbuster of a movie, Kai Po Che directed by Abhishek Kapoor which was adapted by Chetan Bhagat's ..."
21,Actor,Boman Irani,"Top Rated Movies:1)3 Idiots (2009) 8.4/10
2)Parmanu: The Story of Pokhran (2018) 8.3/10
3)Khosla Ka Ghosla! (2006) 8.3/10
4)PK (2014) 8.2/10
5)Munna Bhai M.B.B.S. (2003) 8.2/10
6)Lage Raho Munna Bhai (2006) 8.1/10
7)Jolly LLB (2013) 7.4/10
8)Page 3 (2005) 7.3/10
9)Being Cyrus (2005) 7.3/10
10)99 (2009) 7.3/10Next Movies:1)Sanju (2018)
2)Drive (2018)
3)Total Dhamaal (2018)
4)Housefull 4 (2019)","https://m.media-amazon.com/images/M/MV5BNTc4ZjFlMjUtODU3MS00M2JhLTlkMzEtMmIyODFiMjAwZmJhXkEyXkFqcGdeQXVyNTE0MDc0NTM@._V1_UY209_CR62,0,140,209_AL_.jpg
","Boman Irani was born on December 2, 1959 in Bombay, State of Bombay, India. He is an actor, known for 3 Idiots (2009), Munna Bhai M.B.B.S. (2003) and Don 2 (2011). He has been married to Zenobia since January 28, 1985. They have two children."
22,Actor,Saurabh Shukla,"Top Rated Movies:1)PK (2014) 8.2/10
2)Satya (1998) 8.2/10
3)Anniyan (2005) 8.2/10
4)Barfi! (2012) 8.1/10
5)Lage Raho Munna Bhai (2006) 8.1/10
6)Slumdog Millionaire (2008) 8/10
7)Hey Ram (2000) 8/10
8)Ankhon Dekhi (2013) 8/10
9)Hazaaron Khwaishein Aisi (2003) 8/10
10)Zakhm (1998) 8/10Next Movies:1)Alert 24X7 (2019)","https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_UY209_CR19,0,140,209_AL_.jpg
","Shukla's family left Gorakhpur for Delhi when he was two years old. After completing his schooling, he graduated from Khalsa College, Delhi. His professional career began in 1984 with his entry into theater.Shukla began serious theater in 1986 with roles in plays like A View From The Bridge (Arthur..."
23,Actor,Sanjay Mishra,"Top Rated Movies:1)Kadvi Hawa (2017) 8.8/10
2)Masaan (2015) 8.1/10
3)Ankhon Dekhi (2013) 8/10
4)Newton (2017) 7.8/10
5)Dum Laga Ke Haisha (2015) 7.5/10
6)Phas Gaye Re Obama (2010) 7.5/10
7)Golmaal: Fun Unlimited (2006) 7.4/10
8)Jolly LLB (2013) 7.4/10
9)Jolly LLB 2 (2017) 7.3/10
10)Dhamaal (2007) 7.2/10Next Movies:1)FryDay (2018)
2)Total Dhamaal (2018)
3)Mangal Ho (2018)","https://m.media-amazon.com/images/M/MV5BMTM0OTU2NDYyNl5BMl5BanBnXkFtZTYwNTYyNDgy._V1_UX140_CR0,0,140,209_AL_.jpg
","Sanjay Mishra is known for his work on Masaan (2015), Dilwale (2015) and Ankhon Dekhi (2013)."
24,Actor,Vijay Raaz,"Top Rated Movies:1)Gully Boy (2019) 8.2/10
2)Company (2002) 8/10
3)Stree (2018) 7.7/10
4)Delhi Belly (2011) 7.5/10
5)Yuva (2004) 7.4/10
6)Soorma (2018) 7.4/10
7)Kya Dilli Kya Lahore (2014) 7.4/10
8)Monsoon Wedding (2001) 7.3/10
9)Lupt (2018) 7.3/10
10)Sanam Teri Kasam (2016) 7.3/10Next Movies:1)Officer Arjun Singh IPS (2019)
2)Turtle (2020)
3)Waah Zindagi ???
4)Jaane Bhi Do Yaaro ???
5)Jawaani Lay Doobi ???","https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_UX140_CR0,0,140,209_AL_.jpg
",Vijay Raaz was born and raised in Delhi where he attended Kirori Mal College. While at college he was a part of the dramatic society The Players. He also appeared in plays at the National School of Drama. He decided to focus on a film career and moved to Mumbai where he received a role in Ram Gopal...
25,Actor,Annu Kapoor,"Top Rated Movies:1)Kala Pani (1996) 8.4/10
2)Darr (1993) 7.9/10
3)Vicky Donor (2012) 7.8/10
4)Mr. India (1987) 7.8/10
5)Ghayal (1990) 7.7/10
6)Raincoat (2004) 7.6/10
7)Chameli Ki Shaadi (1986) 7.6/10
8)Jolly LLB 2 (2017) 7.3/10
9)Tezaab (1988) 7/10Next Movies:1)Mangal Ho (2018)
2)Muavza ???","https://m.media-amazon.com/images/M/MV5BMjE4MjAxODk1NV5BMl5BanBnXkFtZTcwODQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg
","Annu Kapoor made his debut in the film Mandi directed by Shyam Benegal in 1983.His career has spanned nearly 30 years including a distinctive presence in Bollywood cinema, television serials, and reality game shows. He is best remembered for hosting the singing show Antakshari, produced by ZEE TV. ..."
26,Actor,Pankaj Tripathi,"Top Rated Movies:1)Nil Battey Sannata (2015) 8.4/10
2)Gangs of Wasseypur (2012) 8.2/10
3)Super 30 (2019) 8.2/10
4)Omkara (2006) 8.1/10
5)Masaan (2015) 8.1/10 
6)The Tashkent Files (2019) 8.1/10
7)Manjhi: The Mountain Man (2015) 8/10
8)Religion (2007) 7.9/10
9)Newton (2017) 7.7/10
10)Stree (2018) 7.7/10Next Movies:1)Dhaka (2019)
2)Angrezi Medium (2020)
3)Kargil Girl (2020)
4)Mimi (2020)
5)'83 (2020)
5)RoohiAfza (2020)
7)Drive ???","https://m.media-amazon.com/images/M/MV5BNjdlYjllOGMtYzU1OC00ODZjLWEzOGEtMGViOTYyYjU3YmJiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR3,0,140,209_AL_.jpg
","Pankaj Tripathi is an actor, known for Gangs of Wasseypur (2012), Stree (2018) and Newton (2017)."
27,Actor,Kay Kay Menon,"Top Rated Movies:1)Black Friday (2004) 8.6/10
2)Shahid (2013) 8.3/10
3)Haider (2014) 8.2/10
4)Baby (2015) 8.1/10
5)Gulaal (2009) 8.1/10
6)Hazaaron Khwaishein Aisi (2003) 8/10
7)Mumbai Meri Jaan (2008) 7.8/10
8)Sarkar (2005) 7.7/10
9)The Ghazi Attack (2017) 7.7/10
10)Rahasya (2015) 7.7/10
11)Paanch (2003) 7.7/10Next Movies:1)Firrkie (2018)
2)San' 75 (Pachattar) (2018)","https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY209_CR87,0,140,209_AL_.jpg
","Kay Kay Menon was born on October 2, 1966 in Kerala, India as Krishna Kumar Menon. He is an actor, known for Haider (2014), Black Friday (2004) and Gulaal (2009). He is married to Nivedita Bhattacharya."
28,Actor,Ronit Roy,"Top Rated Movies:1)Udaan (2010) 8.2/10
2)Ugly (2014) 8.1/10
3)Jai Lava Kusa (2017) 7.3/10
4)Kaabil (2017) 7.1/10Next Movies:1)The Field (2018)","https://m.media-amazon.com/images/M/MV5BMjQzMjEyMDY1Nl5BMl5BanBnXkFtZTgwNTM3OTczOTE@._V1_UY209_CR3,0,140,209_AL_.jpg
","Ronit Roy was born on October 11, 1965 in Nagpur, Maharashtra, India as Ronit Bose Roy. He is an actor, known for Udaan (2010), Kaabil (2017) and Kasautii Zindagii Kay (2001). He has been married to Neelam Singh since December 25, 2003. They have two children."
29,Actor,Vinay Pathak,"Top Rated Movies:1)Khosla Ka Ghosla! (2006) 8.3/10
2)Johnny Gaddaar (2007) 7.9/10
3)Dasvidaniya (2008) 7.9/10
4)Water (2005) 7.8/10
5)Manorama Six Feet Under (2007) 7.8/10
6)Bheja Fry (2007) 7.7/10
7)Hum Dil De Chuke Sanam (1999) 7.6/10
8)Badlapur (2015) 7.5/10
9)Fire (1996) 7.3/10
10)Rab Ne Bana Di Jodi (2008) 7.2/10Next Movies:1)Toba Tek Singh (2018)
2)Dhuusar (Grey) (2018)","https://m.media-amazon.com/images/M/MV5BMTgxODI1NTI2MV5BMl5BanBnXkFtZTgwODgxODYyNjE@._V1_UY209_CR86,0,140,209_AL_.jpg
","Vinay Pathak was born on July 12, 1968 in Bhojpur District, Bihar, India. He is an actor and writer, known for Bheja Fry (2007), Rab Ne Bana Di Jodi (2008) and My Name Is Khan (2010)."
